value,label
fht_paris_2022,FHT Paris 2022
fht_paris_2023,FHT Paris 2023
fht_paris_2024,FHT Paris 2024
fht_paris_2025,FHT Paris 2025
fht_paris_2026,FHT Paris 2026
itb_berlin_2023,ITB Berlin 2023
itb_berlin_2024,ITB Berlin 2024
itb_berlin_2025,ITB Berlin 2025
itb_berlin_2026,ITB Berlin 2026
equiphotel_paris_2022,EquipHotel Paris 2022
equiphotel_paris_2024,EquipHotel Paris 2024
equiphotel_paris_2026,EquipHotel Paris 2026
fitur_2024,FITUR 2024
fitur_2026,Fitur 2026
ihs_amsterdam_2023,IHS Amsterdam 2023
ihs_amsterdam_2024,IHS Amsterdam 2024
ihs_london_2023,IHS London 2023
ihs_london_2024,IHS London 2024
ihs_miami_2023,IHS Miami 2023
ihtf_vienna_2023,IHTF Vienna 2023
ihtf_uk_2026,IHTF UK 2026
hitec_orlando_2022,HITEC Orlando 2022
hotel360_london_2022,Hotel 360 London 2022
vrws_porto_2022,VR World Summit Porto 2022
vrws_2023,VRWS 2023
vitur_malaga_2022,VITUR Malaga 2022
shorttermrental_miami_2023,Short Term Rental Forum Miami 2023
short_stay_summit_london_2023,Short Stay Summit London 2023
staywyse_amsterdam_2023,Stay Wyse Amsterdam 2023
urban_living_london_2023,Urban Living London 2023
hrm_france_2023,HRM France 2023
guestyval_2023,GuestyVal Tel Aviv 2023
atm_2024,Arabian Travel Market 2024
sofitel_gm_convention_dubai_2023,Sofitel GM Convention Dubai 2023
smdl_accor_paris_2025,SMDL Accor Paris 2025
fiba_florida_2025,Fiba Florida 2025
accor_phuket_2026,Accor Phuket Conference 2026
unfold_ams_2026,Unfold AMS 2026
