hs_object_id,jobtitle,company_domain,icp_title_tier,icp_seller_flag,icp_classification_reason
951,Cybersecurity Expert,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
12757,"VP, Information Technology, Third-Party Vendor Risk Management",,out_of_scope,FALSE,Risk or compliance role outside security remit.
13603,CEO,,out_of_scope,FALSE,Executive role outside security remit.
3026210787,Senior Cyber Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3858645203,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3858645205,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3858645210,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3849743329,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3858730710,Security Analyst.Senior,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4104028104,Senior Information Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4104028105,Sr. Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4104463293,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4104463295,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4104463297,Sr. Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4093327579,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
17817822937,"Vice President, Governance, Risk, and Compliance Solutions",,out_of_scope,FALSE,Risk or compliance role outside security remit.
1.10638E+11,Sr InfoSec Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
2.13503E+11,Information Security and Compliance Professional,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
2.17009E+11,"IT Governance, Risk, and Compliance Specialist",,out_of_scope,FALSE,Risk or compliance role outside security remit.
2.86008E+11,Senior Network Security Administrator,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3.36827E+11,Cybersecurity Specialist,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
3.56147E+11,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
3.63057E+11,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
3.75809E+11,Underwriting Operations - Risk Management,,out_of_scope,FALSE,Risk or compliance role outside security remit.
3.75821E+11,cto,,out_of_scope,FALSE,Executive role outside security remit.
3.75746E+11,Vice President of Risk Management,,out_of_scope,FALSE,Risk or compliance role outside security remit.
4.01169E+11,"Senior Vice President, Risk Management",,out_of_scope,FALSE,Risk or compliance role outside security remit.
4.42595E+11,Data Protection Analyst,,out_of_scope,FALSE,Risk or compliance role outside security remit.
4.51105E+11,Senior Information Security Risk Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4.51119E+11,"Snr. Cybersec, Governance and Risk",,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4.51091E+11,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
4.77577E+11,IT Risk Analyst,,out_of_scope,FALSE,Risk or compliance role outside security remit.
4.78224E+11,IT Risk Senior Analyst,,out_of_scope,FALSE,Risk or compliance role outside security remit.
4.78285E+11,Data Protection Evangelist,,out_of_scope,TRUE,"Vendor-side evangelist role, not a buyer."
4.77695E+11,Snr. Global IT Risk Management,,out_of_scope,FALSE,Risk or compliance role outside security remit.
4.78512E+11,"Dir Cyber Security, ISO",,tier_2,FALSE,Director-level security function owner.
4.77579E+11,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
4.78245E+11,Infosec,,unknown,FALSE,"Title too generic to place, needs enrichment."
