hs_object_id,jobtitle,company_domain,icp_title_tier,icp_seller_flag,icp_classification_reason
951,Cybersecurity Expert,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
12757,"VP, Information Technology, Third-Party Vendor Risk Management",,out_of_scope,FALSE,Risk or compliance role outside security remit.
13603,CEO,,out_of_scope,FALSE,Executive role outside security remit.
3026210787,Senior Cyber Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3858645203,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3858645205,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3858645210,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3849743329,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
3858730710,Security Analyst.Senior,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4104028104,Senior Information Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4104028105,Sr. Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4104463293,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4104463295,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4104463297,Sr. Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
4093327579,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
17817822937,"Vice President, Governance, Risk, and Compliance Solutions",,out_of_scope,FALSE,Risk or compliance role outside security remit.
110637544692,Sr InfoSec Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
213502678240,Information Security and Compliance Professional,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
217009192171,"IT Governance, Risk, and Compliance Specialist",,out_of_scope,FALSE,Risk or compliance role outside security remit.
286007555285,Senior Network Security Administrator,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
336826891481,Cybersecurity Specialist,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
356146884812,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
363057454313,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
375809009858,Underwriting Operations - Risk Management,,out_of_scope,FALSE,Risk or compliance role outside security remit.
375821235393,cto,,out_of_scope,FALSE,Executive role outside security remit.
375746348255,Vice President of Risk Management,,out_of_scope,FALSE,Risk or compliance role outside security remit.
401168678137,"Senior Vice President, Risk Management",,out_of_scope,FALSE,Risk or compliance role outside security remit.
442594542783,Data Protection Analyst,,out_of_scope,FALSE,Risk or compliance role outside security remit.
451104922813,Senior Information Security Risk Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
451118719168,"Snr. Cybersec, Governance and Risk",,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
451091023090,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
477577436365,IT Risk Analyst,,out_of_scope,FALSE,Risk or compliance role outside security remit.
478223861956,IT Risk Senior Analyst,,out_of_scope,FALSE,Risk or compliance role outside security remit.
478284888306,Data Protection Evangelist,,out_of_scope,TRUE,"Vendor-side evangelist role, not a buyer."
477694900453,Snr. Global IT Risk Management,,out_of_scope,FALSE,Risk or compliance role outside security remit.
478512031977,"Dir Cyber Security, ISO",,tier_2,FALSE,Director-level security function owner.
477579224261,Director,,unknown,FALSE,"Title too generic to place, needs enrichment."
478244565199,Infosec,,unknown,FALSE,"Title too generic to place, needs enrichment."
478695069945,Senior Security Analyst,,tier_3,FALSE,"Senior security practitioner, evaluates and influences."
485699604715,Network Security Administrator,,out_of_scope,FALSE,"Junior or administrative security role, not in buying committee."
